set                     : 16
project_name            : 13
includes                : 11
the                     : 10
include                 : 8 
and                     : 7 
if                      : 7 
is                      : 7 
off                     : 7 
to                      : 7 
9watermelon             : 6 
apple                   : 6 
it                      : 6 
not                     : 6 
project                 : 6 
required                : 6 
sanitizers              : 6 
strawberry              : 6 
be                      : 5 
boost                   : 5 
cmake                   : 5 
for                     : 5 
libarchive              : 5 
of                      : 5 
use                     : 5 
any                     : 4 
as                      : 4 
before                  : 4 
find_package            : 4 
https                   : 4 
icu_prefix              : 4 
in                      : 4 
info                    : 4 
name                    : 4 
on                      : 4 
options_parser          : 4 
or                      : 4 
so                      : 4 
add                     : 3 
after                   : 3 
are                     : 3 
at                      : 3 
but                     : 3 
darwin                  : 3 
data                    : 3 
detects                 : 3 
do                      : 3 
endif                   : 3 
good                    : 3 
here                    : 3 
main                    : 3 
memory                  : 3 
one                     : 3 
options                 : 3 
part                    : 3 
private                 : 3 
program_options         : 3 
put                     : 3 
should                  : 3 
system                  : 3 
target_include_directories: 3 
target_link_libraries   : 3 
this                    : 3 
time                    : 3 
warnings_as_errors      : 3 
watermelon              : 3 
your                    : 3 
abode                   : 2 
about                   : 2 
above                   : 2 
additions               : 2 
addresssanitizer        : 2 
admire                  : 2 
advantages              : 2 
age                     : 2 
agreeable               : 2 
agreed                  : 2 
all                     : 2 
all_targets             : 2 
alone                   : 2 
alteration              : 2 
am                      : 2 
amiable                 : 2 
an                      : 2 
answer                  : 2 
answered                : 2 
anxious                 : 2 
appetite                : 2 
archive                 : 2 
article                 : 2 
ask                     : 2 
assurance               : 2 
barton                  : 2 
because                 : 2 
bed                     : 2 
been                    : 2 
begin                   : 2 
behaviour               : 2 
being                   : 2 
believe                 : 2 
believing               : 2 
between                 : 2 
blue                    : 2 
blush                   : 2 
boisterous              : 2 
boy                     : 2 
branched                : 2 
brandon                 : 2 
brew                    : 2 
by                      : 2 
c                       : 2 
call                    : 2 
calling                 : 2 
carried                 : 2 
cause                   : 2 
certain                 : 2 
certainly               : 2 
certainty               : 2 
charmed                 : 2 
chatty                  : 2 
chief                   : 2 
clang.llvm.org          : 2 
cmake_build_type        : 2 
cmake_system_name       : 2 
collecting              : 2 
colonel                 : 2 
comfort                 : 2 
command                 : 2 
command_error_is_fatal  : 2 
compass                 : 2 
compliment              : 2 
components              : 2 
concealed               : 2 
concluded               : 2 
confined                : 2 
consider                : 2 
consisted               : 2 
contempt                : 2 
contrasted              : 2 
conveying               : 2 
conviction              : 2 
court                   : 2 
creates                 : 2 
cxx                     : 2 
death                   : 2 
debating                : 2 
decay                   : 2 
decisively              : 2 
default                 : 2 
dejection               : 2 
delight                 : 2 
demands                 : 2 
depend                  : 2 
desirous                : 2 
developing              : 2 
discovered              : 2 
discovery               : 2 
discretion              : 2 
dispatched              : 2 
disposed                : 2 
docs                    : 2 
does                    : 2 
doors                   : 2 
drift                   : 2 
dull                    : 2 
earnestly               : 2 
easily                  : 2 
eat                     : 2 
ecstatic                : 2 
education               : 2 
effect                  : 2 
either                  : 2 
elegance                : 2 
end                     : 2 
engrossed               : 2 
enjoy                   : 2 
enquire                 : 2 
entrance                : 2 
entreaties              : 2 
equally                 : 2 
esteems                 : 2 
estimable               : 2 
estimating              : 2 
everything              : 2 
excellence              : 2 
excuse                  : 2 
executable              : 2 
execute_process         : 2 
existence               : 2 
expense                 : 2 
express                 : 2 
extended                : 2 
extremely               : 2 
eyed                    : 2 
eyes                    : 2 
fact                    : 2 
fail                    : 2 
fanny                   : 2 
far                     : 2 
fat                     : 2 
feelings                : 2 
felicity                : 2 
few                     : 2 
forbade                 : 2 
forming                 : 2 
fortune                 : 2 
four                    : 2 
friend                  : 2 
friends                 : 2 
friendship              : 2 
full                    : 2 
fully                   : 2 
gate                    : 2 
gay                     : 2 
get                     : 2 
github.com              : 2 
give                    : 2 
google                  : 2 
graceful                : 2 
grave                   : 2 
greatest                : 2 
green                   : 2 
guest                   : 2 
half                    : 2 
happiness               : 2 
hard                    : 2 
has                     : 2 
hastily                 : 2 
he                      : 2 
heard                   : 2 
hearted                 : 2 
help                    : 2 
hence                   : 2 
her                     : 2 
hi                      : 2 
him                     : 2 
his                     : 2 
hoped                   : 2 
horrible                : 2 
household               : 2 
how                     : 2 
humoured                : 2 
hung                    : 2 
icu_include_dir         : 2 
icu_library_i18n        : 2 
icu_library_uc          : 2 
immediate               : 2 
improved                : 2 
imprudence              : 2 
indeed                  : 2 
inhabit                 : 2 
inhabiting              : 2 
insensible              : 2 
insipidity              : 2 
insisted                : 2 
interested              : 2 
invitation              : 2 
itself                  : 2 
jokes                   : 2 
joy                     : 2 
judgment                : 2 
keeps                   : 2 
ladies                  : 2 
lasting                 : 2 
law                     : 2 
learning                : 2 
left                    : 2 
length                  : 2 
lib                     : 2 
libarchive_include_dir  : 2 
libarchive_prefix       : 2 
likewise                : 2 
limits                  : 2 
listening               : 2 
living                  : 2 
locale                  : 2 
longer                  : 2 
looked                  : 2 
made                    : 2 
manners                 : 2 
manor                   : 2 
matches                 : 2 
material                : 2 
may                     : 2 
me                      : 2 
mean                    : 2 
means                   : 2 
meet                    : 2 
memorysanitizer         : 2 
men                     : 2 
mention                 : 2 
merely                  : 2 
merits                  : 2 
met                     : 2 
middleton               : 2 
mile                    : 2 
minutes                 : 2 
mistaken                : 2 
money                   : 2 
months                  : 2 
mr                      : 2 
mrs                     : 2 
mutual                  : 2 
my                      : 2 
natural                 : 2 
nay                     : 2 
necessary               : 2 
never                   : 2 
no                      : 2 
noisy                   : 2 
nor                     : 2 
northward               : 2 
now                     : 2 
offended                : 2 
offending               : 2 
offer                   : 2 
offering                : 2 
offices                 : 2 
oh                      : 2 
only                    : 2 
oppose                  : 2 
order                   : 2 
ought                   : 2 
out                     : 2 
output_strip_trailing_whitespace: 2 
output_variable         : 2 
outward                 : 2 
over                    : 2 
own                     : 2 
packages                : 2 
painful                 : 2 
painted                 : 2 
park                    : 2 
particular              : 2 
party                   : 2 
passage                 : 2 
people                  : 2 
perceived               : 2 
perhaps                 : 2 
picture                 : 2 
place                   : 2 
pleasure                : 2 
position                : 2 
possession              : 2 
preferred               : 2 
prefix                  : 2 
prepared                : 2 
prevent                 : 2 
principle               : 2 
principles              : 2 
pronounce               : 2 
propriety               : 2 
prospect                : 2 
provision               : 2 
pvs                     : 2 
quick                   : 2 
quitting                : 2 
raillery                : 2 
rapid                   : 2 
raptures                : 2 
regret                  : 2 
release                 : 2 
remember                : 2 
removed                 : 2 
rendered                : 2 
rent                    : 2 
replying                : 2 
reserved                : 2 
resolution              : 2 
resolving               : 2 
rest                    : 2 
returned                : 2 
saw                     : 2 
say                     : 2 
scale                   : 2 
see                     : 2 
seemed                  : 2 
sell                    : 2 
sensible                : 2 
sent                    : 2 
seven                   : 2 
sex                     : 2 
share                   : 2 
she                     : 2 
sir                     : 2 
sitting                 : 2 
situation               : 2 
smallest                : 2 
smiling                 : 2 
some                    : 2 
son                     : 2 
songs                   : 2 
speaking                : 2 
spoil                   : 2 
sportsman               : 2 
